iter	Passed	Remaining
0	58	58264
1	58	29403
2	59	19684
3	59	14850
4	60	11977
5	60	10034
6	61	8654
7	61	7602
8	61	6790
9	62	6146
10	62	5628
11	62	5183
12	63	4808
13	63	4492
14	64	4209
15	64	3979
16	65	3768
17	65	3587
18	66	3420
19	66	3275
20	67	3139
21	67	3007
22	68	2889
23	68	2789
24	68	2686
25	69	2590
26	69	2502
27	69	2420
28	69	2343
29	70	2272
30	70	2205
31	70	2143
32	71	2084
33	71	2029
34	71	1977
35	72	1928
36	72	1882
37	73	1862
38	73	1820
39	74	1780
40	74	1745
41	74	1708
42	75	1673
43	75	1640
44	76	1615
45	76	1587
46	77	1567
47	77	1541
48	78	1514
49	78	1491
50	79	1472
51	79	1453
52	80	1429
53	80	1407
54	80	1386
55	80	1364
56	81	1344
57	81	1326
58	81	1306
59	82	1290
60	82	1275
61	83	1260
62	83	1243
63	84	1229
64	84	1213
65	84	1199
66	85	1184
67	85	1169
68	85	1155
69	86	1144
70	86	1132
71	87	1123
72	87	1112
73	88	1101
74	88	1090
75	88	1079
76	89	1069
77	90	1063
78	90	1059
79	91	1048
80	91	1039
81	91	1029
82	92	1017
83	92	1011
84	93	1005
85	93	998
86	94	989
87	94	981
88	95	972
89	95	965
90	95	957
91	96	951
92	96	944
93	97	937
94	97	930
95	98	923
96	98	914
97	98	908
98	99	901
99	99	894
100	99	888
101	100	883
102	100	878
103	101	872
104	101	866
105	101	859
106	102	854
107	102	848
108	103	842
109	103	836
110	103	830
111	104	826
112	104	822
113	105	817
114	105	813
115	106	808
116	106	804
117	106	798
118	107	794
119	107	789
120	107	784
121	108	779
122	108	775
123	109	770
124	109	767
125	109	762
126	110	758
127	110	754
128	111	751
129	111	747
130	112	744
131	112	739
132	113	736
133	113	733
134	114	731
135	114	727
136	114	723
137	115	719
138	115	716
139	116	713
140	116	709
141	116	705
142	117	702
143	117	698
144	118	696
145	118	693
146	118	690
147	119	686
148	119	685
149	120	681
150	120	679
151	121	676
152	121	673
153	122	670
154	122	667
155	122	665
156	123	662
157	123	659
158	124	656
159	124	654
160	125	651
161	125	649
162	125	645
163	126	644
164	126	642
165	127	638
166	127	636
167	128	635
168	128	633
169	129	631
170	129	629
171	130	626
172	130	623
173	130	621
174	131	619
175	131	617
176	132	614
177	132	611
178	132	609
179	133	606
180	133	603
181	133	600
182	133	598
183	134	595
184	134	592
185	134	589
186	135	587
187	135	584
188	135	582
189	135	579
190	136	576
191	136	574
192	136	571
193	137	569
194	137	566
195	137	564
196	137	561
197	138	559
198	138	556
199	138	554
200	138	552
201	139	549
202	139	547
203	139	545
204	139	542
205	140	540
206	140	538
207	140	535
208	141	533
209	141	531
210	141	529
211	141	527
212	142	525
213	142	522
214	142	520
215	142	518
216	143	516
217	143	514
218	143	512
219	143	510
220	144	508
221	144	506
222	144	504
223	145	502
224	145	500
225	145	498
226	145	496
227	146	494
228	146	493
229	146	491
230	146	489
231	147	487
232	147	485
233	147	483
234	148	482
235	148	480
236	148	478
237	148	476
238	149	475
239	149	473
240	149	471
241	150	469
242	150	468
243	150	466
244	150	465
245	151	463
246	151	461
247	151	460
248	152	458
249	152	457
250	152	455
251	152	453
252	153	452
253	163	480
254	163	478
255	164	476
256	164	475
257	164	473
258	164	471
259	165	471
260	166	470
261	166	468
262	166	467
263	167	465
264	167	463
265	167	462
266	167	460
267	168	459
268	168	458
269	169	457
270	169	456
271	169	454
272	170	453
273	170	452
274	170	450
275	171	449
276	171	447
277	171	446
278	172	445
279	172	444
280	173	442
281	173	441
282	173	440
283	174	439
284	174	437
285	175	436
286	175	435
287	175	434
288	176	433
289	176	432
290	176	430
291	177	429
292	177	428
293	177	426
294	178	425
295	178	424
296	178	423
297	179	421
298	179	420
299	179	419
300	180	418
301	180	417
302	181	416
303	181	415
304	181	414
305	182	413
306	182	412
307	183	413
308	185	414
309	185	413
310	186	412
311	186	411
312	187	410
313	187	409
314	187	408
315	188	407
316	188	406
317	188	404
318	189	404
319	189	402
320	190	401
321	190	401
322	190	399
323	191	398
324	191	397
325	191	396
326	192	396
327	192	395
328	193	394
329	193	393
330	194	392
331	195	393
332	196	393
333	196	392
334	197	391
335	198	393
336	199	392
337	199	390
338	200	390
339	200	389
340	201	388
341	201	387
342	201	386
343	203	387
344	203	386
345	203	385
346	204	384
347	204	383
348	205	382
349	205	381
350	205	380
351	206	380
352	206	379
353	207	378
354	207	377
355	208	377
356	208	375
357	209	374
358	209	374
359	213	379
360	214	379
361	214	378
362	215	377
363	215	376
364	216	375
365	216	374
366	216	373
367	217	373
368	217	372
369	217	371
370	218	370
371	218	369
372	219	368
373	219	367
374	219	366
375	220	365
376	220	364
377	221	363
378	221	362
379	221	361
380	222	360
381	222	360
382	223	359
383	223	358
384	223	357
385	223	356
386	224	355
387	224	354
388	225	353
389	225	353
390	226	352
391	226	351
392	226	350
393	227	349
394	227	348
395	227	347
396	228	346
397	228	346
398	229	345
399	229	344
400	230	343
401	230	342
402	230	341
403	231	341
404	231	340
405	231	339
406	234	341
407	234	340
408	234	339
409	235	338
410	235	337
411	235	336
412	236	336
413	236	335
414	237	334
415	237	333
416	238	332
417	238	331
418	239	331
419	239	330
420	239	329
421	240	329
422	242	330
423	242	329
424	242	328
425	242	327
426	243	326
427	243	325
428	243	324
429	243	323
430	244	323
431	251	331
432	252	330
433	252	329
434	252	328
435	253	327
436	253	326
437	253	325
438	254	324
439	254	324
440	254	323
441	255	322
442	255	321
443	255	320
444	256	319
